Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
115,10.778772,10.778772,41.561410,0.995364,0.975491,0.960970,0.948056,0.972986,0.987966,0.693137,0.907310,0.949044,0.969819,100.000000,
116,8.831182,12.919312,42.952773,0.996208,0.982334,0.966716,0.958819,0.978218,0.993933,0.723435,0.927298,0.962287,0.978099,100.000000,
117,8.831182,8.831182,42.048381,0.995881,0.975912,0.961769,0.948647,0.973517,0.988297,0.701907,0.915905,0.954754,0.973431,98.691306,
118,12.356071,13.532072,43.186489,0.996385,0.982450,0.966929,0.957313,0.979824,0.994295,0.727513,0.930073,0.964309,0.980036,100.000000,
119,12.356071,12.356071,43.155685,0.996536,0.982608,0.969885,0.959902,0.978748,0.993298,0.731394,0.932050,0.964907,0.979882,100.000000,
120,15.587546,15.587546,42.693364,0.996024,0.979501,0.965335,0.956977,0.972511,0.992458,0.718160,0.921104,0.958342,0.975795,100.000000,
121,16.744097,40.592358,47.684083,0.997857,0.986132,0.983518,0.968260,0.981346,0.993970,0.828075,0.967337,0.983847,0.990558,100.000000,
122,2.469395,16.744097,45.536040,0.996777,0.978095,0.975091,0.952037,0.972413,0.988579,0.780466,0.946333,0.972710,0.984414,93.220102,
123,2.469395,2.469395,45.508869,0.996771,0.978699,0.971578,0.956768,0.972177,0.989051,0.782726,0.945385,0.971596,0.983112,93.196057,
124,2.927304,12.989826,45.780447,0.997205,0.982122,0.974480,0.957026,0.978627,0.992096,0.781815,0.952999,0.976172,0.986148,94.996967,
125,2.927304,2.927304,45.044396,0.996854,0.975794,0.969343,0.950012,0.970992,0.986006,0.770095,0.943963,0.970418,0.982560,93.052313,
126,4.112645,8.680714,45.233091,0.997063,0.980595,0.974211,0.952096,0.976669,0.991179,0.775468,0.946935,0.973066,0.984689,95.894127,
127,4.112645,4.112645,44.641516,0.996934,0.978285,0.970708,0.953882,0.975440,0.988281,0.765852,0.942146,0.970090,0.982754,95.087580,
128,10.274614,10.274614,46.104879,0.997070,0.981264,0.979749,0.965454,0.973347,0.990058,0.792351,0.951803,0.975735,0.985993,100.000000,
129,12.773004,12.773004,47.353869,0.997231,0.984576,0.983734,0.973815,0.974288,0.992505,0.826214,0.960782,0.980312,0.988570,100.000000,
130,11.434011,15.515168,46.159176,0.997479,0.982015,0.974949,0.954955,0.977529,0.992757,0.792139,0.957610,0.978841,0.987865,100.000000,
131,8.367744,11.434011,45.474640,0.997241,0.980547,0.973670,0.952411,0.975846,0.991324,0.780017,0.949819,0.973849,0.984783,100.000000,
132,8.367744,8.367744,46.567523,0.997497,0.985380,0.977050,0.966700,0.978224,0.995396,0.800418,0.959834,0.980265,0.988784,100.000000,
133,7.629513,13.885359,45.864832,0.997323,0.979792,0.973180,0.955263,0.972718,0.991420,0.785275,0.951128,0.975332,0.985825,100.000000,
134,7.629513,7.629513,45.333604,0.997325,0.984449,0.972891,0.963011,0.980535,0.994912,0.777766,0.950844,0.975322,0.986130,100.000000,
135,9.082648,9.082648,47.080996,0.997854,0.987303,0.977713,0.968574,0.984112,0.996225,0.814835,0.966809,0.984130,0.991266,100.000000,
136,10.357444,11.808927,46.870818,0.997743,0.987640,0.981767,0.964922,0.986425,0.995812,0.815009,0.963752,0.982387,0.990314,100.000000,
137,10.357444,10.357444,47.606997,0.997898,0.988476,0.984630,0.969861,0.986083,0.996266,0.828650,0.969941,0.985771,0.992125,100.000000,
138,12.123613,12.688794,47.571733,0.997789,0.988333,0.982910,0.975501,0.984584,0.995443,0.833321,0.967878,0.984346,0.990995,100.000000,
139,9.276099,12.123613,47.940976,0.997761,0.987788,0.984870,0.971906,0.984802,0.994510,0.837107,0.969995,0.985695,0.991851,100.000000,
140,7.944544,9.276099,48.096412,0.997722,0.984797,0.980388,0.971135,0.979259,0.992529,0.845944,0.968914,0.984305,0.990414,100.000000,
141,5.430312,7.944544,47.205088,0.997562,0.983776,0.978521,0.968330,0.978905,0.991699,0.822323,0.963180,0.981516,0.989284,99.074189,
142,5.430312,5.430312,46.328164,0.997275,0.982724,0.978903,0.964977,0.978280,0.990651,0.806203,0.955608,0.977137,0.986660,98.395443,
143,6.494300,6.494300,46.795929,0.997445,0.983571,0.976622,0.967222,0.978109,0.992434,0.814900,0.961783,0.981136,0.989285,100.000000,
144,7.613257,8.203200,46.894374,0.997336,0.985792,0.982141,0.969072,0.982882,0.992807,0.817772,0.960511,0.980119,0.988512,100.000000,
145,7.613257,7.613257,46.653750,0.997207,0.981963,0.975558,0.958618,0.977135,0.991991,0.808327,0.957112,0.978367,0.987683,100.000000,
146,12.801713,12.801713,46.932496,0.997280,0.983723,0.981718,0.968707,0.977571,0.991315,0.809250,0.956957,0.978443,0.987724,100.000000,
147,9.709337,16.007671,46.299861,0.997312,0.983312,0.982184,0.970290,0.974921,0.991284,0.792001,0.954186,0.977193,0.986914,100.000000,
148,9.709337,9.709337,45.703246,0.997195,0.984733,0.975780,0.966331,0.985868,0.990498,0.784121,0.950439,0.974555,0.985684,100.000000,
149,12.594042,12.594042,46.869697,0.997451,0.986693,0.980725,0.972959,0.983133,0.993587,0.801411,0.959733,0.980286,0.988709,100.000000,
150,13.322880,16.617998,47.587347,0.997652,0.987052,0.982096,0.972690,0.983840,0.993958,0.821045,0.964364,0.982423,0.989872,100.000000,
151,10.013959,13.322880,47.806365,0.997726,0.985067,0.982651,0.965353,0.981330,0.993019,0.828404,0.966254,0.983385,0.990399,100.000000,
152,10.013959,10.013959,48.087859,0.997735,0.985607,0.983076,0.972119,0.982623,0.991748,0.840096,0.965972,0.982875,0.989996,100.000000,
153,2.877832,10.316308,48.015644,0.997849,0.987574,0.985342,0.977485,0.983847,0.993477,0.842534,0.970219,0.985673,0.992009,97.094898,
154,2.877832,2.877832,47.944014,0.997693,0.991005,0.985328,0.977744,0.990528,0.996799,0.840068,0.968663,0.984510,0.991087,97.710941,
155,7.263321,7.263321,47.971536,0.997599,0.988886,0.982313,0.972439,0.986810,0.996523,0.833378,0.968855,0.984441,0.990735,100.000000,
156,8.703089,8.949799,47.985099,0.997783,0.989953,0.984829,0.975608,0.985421,0.997724,0.832846,0.969255,0.984750,0.990975,100.000000,
157,8.703089,8.703089,47.588621,0.997688,0.986443,0.981454,0.974333,0.982980,0.993259,0.823456,0.966364,0.983004,0.989864,100.000000,
158,8.748050,8.748050,46.935169,0.997268,0.985106,0.982034,0.973402,0.982164,0.990681,0.813388,0.956574,0.976717,0.985780,100.000000,
