Frame,psnr,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,ssim,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
113,43.856644,12.095939,12.095939,0.987495,0.977104,0.969508,0.985067,0.995886,0.995130,0.738374,0.931786,0.964054,0.978155,100.000000,
114,45.277907,10.778772,18.578222,0.991197,0.981534,0.977459,0.990935,0.996985,0.996769,0.775637,0.955884,0.978090,0.987404,100.000000,
115,44.291353,10.778772,10.778772,0.988830,0.978586,0.974055,0.988875,0.995183,0.996215,0.765492,0.939463,0.967399,0.980561,100.000000,
116,44.850155,8.831182,12.919312,0.988829,0.980700,0.974736,0.987160,0.995108,0.996182,0.769410,0.942075,0.968614,0.981033,100.000000,
117,44.835801,8.831182,8.831182,0.990215,0.979768,0.976962,0.990298,0.996228,0.996941,0.771432,0.951698,0.975735,0.985989,100.000000,
118,44.460466,12.356071,13.532072,0.989201,0.979348,0.972044,0.988393,0.996569,0.996148,0.762054,0.942601,0.969972,0.982202,100.000000,
119,43.934697,12.356071,12.356071,0.987100,0.977962,0.968659,0.986827,0.993991,0.995659,0.750039,0.932116,0.963390,0.978467,100.000000,
120,44.717733,15.587546,15.587546,0.988473,0.979398,0.973918,0.985694,0.995883,0.996311,0.766166,0.944367,0.971632,0.983430,100.000000,
121,50.014429,16.744097,40.592358,0.992999,0.989490,0.982966,0.992406,0.996846,0.998515,0.880752,0.982049,0.991089,0.994774,100.000000,
122,46.014609,2.469395,16.744097,0.985276,0.982682,0.966815,0.980141,0.993397,0.996309,0.797081,0.946817,0.971083,0.982342,94.546722,
123,46.465228,2.469395,2.469395,0.987672,0.981503,0.964698,0.986340,0.995491,0.996689,0.805730,0.955986,0.977164,0.985987,95.659516,
124,46.995529,2.927304,12.989826,0.989697,0.985936,0.974849,0.987414,0.995526,0.997137,0.826046,0.960450,0.978170,0.985990,96.762428,
125,48.249343,2.927304,2.927304,0.992028,0.987674,0.980815,0.991389,0.996053,0.997768,0.848884,0.972136,0.985399,0.991080,98.057369,
126,46.500227,4.112645,8.680714,0.987788,0.980917,0.967334,0.983975,0.996413,0.996890,0.815917,0.955953,0.976134,0.985622,97.726451,
127,47.626625,4.112645,4.112645,0.989993,0.985323,0.976100,0.988149,0.995893,0.997544,0.837176,0.968039,0.983604,0.990350,98.980403,
128,46.082821,10.274614,10.274614,0.986724,0.985520,0.973203,0.978204,0.995104,0.996200,0.800195,0.949249,0.972560,0.983040,100.000000,
129,47.152580,12.773004,12.773004,0.986821,0.987561,0.976951,0.979680,0.992604,0.996340,0.826557,0.956237,0.976442,0.985307,100.000000,
130,46.011431,11.434011,15.515168,0.986964,0.980321,0.965990,0.984127,0.995241,0.996397,0.801970,0.952507,0.974721,0.984582,100.000000,
131,46.923375,8.367744,11.434011,0.988879,0.983195,0.970903,0.986634,0.995655,0.997247,0.818197,0.962268,0.980510,0.988579,100.000000,
132,45.581463,8.367744,8.367744,0.983722,0.975390,0.963207,0.974758,0.995066,0.996209,0.785545,0.943694,0.969256,0.981037,100.000000,
133,46.601010,7.629513,13.885359,0.985671,0.980551,0.969114,0.981751,0.993240,0.996777,0.808510,0.956099,0.976415,0.985562,100.000000,
134,45.137709,7.629513,7.629513,0.983092,0.975550,0.963097,0.980167,0.991754,0.996021,0.778133,0.940345,0.966776,0.979257,100.000000,
135,46.734055,9.082648,9.082648,0.984918,0.979642,0.966280,0.979897,0.993669,0.997017,0.809042,0.959814,0.979857,0.988492,100.000000,
136,46.282122,10.357444,11.808927,0.983299,0.983606,0.964224,0.979706,0.990285,0.996211,0.808065,0.948500,0.970889,0.981697,100.000000,
137,46.644851,10.357444,10.357444,0.984401,0.985776,0.968718,0.978255,0.991918,0.996373,0.816909,0.952053,0.973440,0.983513,100.000000,
138,48.142246,12.123613,12.688794,0.989627,0.988246,0.980368,0.985304,0.994922,0.997168,0.846940,0.966652,0.982672,0.989068,100.000000,
139,46.604221,9.276099,12.123613,0.987552,0.984363,0.972510,0.983255,0.994788,0.995901,0.815309,0.950377,0.973226,0.983405,100.000000,
