Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
106,5.966052,16.565865,42.210710,0.995764,0.978249,0.967279,0.954729,0.974921,0.989371,0.704889,0.916119,0.954536,0.973117,95.817198,
107,5.966052,5.966052,43.027438,0.996409,0.983802,0.969094,0.960596,0.983368,0.993717,0.718885,0.931518,0.965220,0.980128,98.091504,
108,8.449114,12.500032,43.110386,0.996413,0.984002,0.971422,0.966231,0.983161,0.992673,0.725624,0.929893,0.963180,0.978365,100.000000,
109,8.449114,8.449114,42.642446,0.996116,0.980803,0.968234,0.955766,0.978202,0.991647,0.713788,0.924843,0.960430,0.976799,99.868013,
110,4.425893,8.675035,42.183555,0.996139,0.977017,0.963642,0.946494,0.973758,0.990660,0.706193,0.920417,0.958014,0.975947,94.062521,
111,4.425893,4.425893,41.966690,0.996293,0.975607,0.959789,0.948415,0.973634,0.988406,0.702480,0.920247,0.958346,0.976716,93.831273,
112,6.326634,6.326634,41.684355,0.995756,0.975570,0.964578,0.948956,0.973216,0.987725,0.698520,0.910187,0.951618,0.971883,95.427293,
113,12.095939,12.095939,43.483661,0.995807,0.983535,0.972917,0.960975,0.980981,0.993267,0.726860,0.923464,0.959536,0.976028,100.000000,
114,10.778772,18.578222,42.660511,0.995770,0.978681,0.965133,0.954523,0.974361,0.990235,0.708044,0.916492,0.954815,0.972790,100.000000,
115,10.778772,10.778772,41.460476,0.995279,0.974950,0.960655,0.946732,0.971391,0.988251,0.690701,0.905031,0.947703,0.968776,99.938939,
116,8.831182,12.919312,42.652466,0.995827,0.981860,0.969283,0.955340,0.978759,0.993109,0.716497,0.920214,0.957999,0.975543,100.000000,
117,8.831182,8.831182,41.555843,0.995395,0.972514,0.961083,0.943830,0.970075,0.984775,0.689599,0.905796,0.948162,0.968942,97.279936,
118,12.356071,13.532072,42.417452,0.995598,0.979969,0.967822,0.948851,0.977647,0.992599,0.709341,0.915206,0.955249,0.974091,100.000000,
119,12.356071,12.356071,42.104682,0.995430,0.977063,0.962149,0.948381,0.971743,0.990573,0.705056,0.911447,0.952080,0.971753,100.000000,
