Frame,psnr,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,ssim,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
155,47.497326,7.263321,7.263321,0.986923,0.980666,0.970031,0.985183,0.994422,0.997395,0.822624,0.963299,0.981344,0.988816,100.000000,
156,47.666077,8.703089,8.949799,0.987413,0.983743,0.972756,0.982416,0.995120,0.997589,0.824705,0.964702,0.982236,0.989420,100.000000,
157,47.179267,8.703089,8.703089,0.984667,0.977854,0.971429,0.982694,0.991467,0.997461,0.813939,0.961568,0.980553,0.988458,100.000000,
158,46.481334,8.748050,8.748050,0.983337,0.981010,0.972821,0.977567,0.989875,0.996927,0.804562,0.950174,0.972697,0.982913,100.000000,
159,46.300597,8.890134,8.890134,0.982926,0.979317,0.969338,0.979225,0.989630,0.997100,0.796256,0.952202,0.975104,0.985224,100.000000,
160,46.727512,12.011338,12.011338,0.987275,0.982655,0.968745,0.984551,0.995119,0.997311,0.802201,0.957296,0.978791,0.987806,100.000000,
161,45.950157,12.930285,14.192577,0.983662,0.979383,0.959589,0.980157,0.992947,0.997291,0.784853,0.952291,0.976378,0.986501,100.000000,
162,45.496288,8.700209,12.930285,0.981002,0.979425,0.960995,0.977079,0.988676,0.997183,0.776538,0.948752,0.973657,0.984661,100.000000,
163,46.269664,8.700209,8.700209,0.985473,0.981765,0.965029,0.982103,0.993174,0.997480,0.790764,0.957940,0.979395,0.988554,100.000000,
164,46.527912,5.876747,9.049299,0.983723,0.980804,0.965464,0.979897,0.990826,0.997629,0.799229,0.959078,0.979888,0.988936,99.475401,
165,46.065537,5.876747,5.876747,0.986456,0.981154,0.970823,0.984185,0.992971,0.997588,0.790553,0.956239,0.977915,0.987594,99.858309,
166,46.451003,9.105796,9.105796,0.987115,0.981528,0.964668,0.985318,0.995121,0.997859,0.796388,0.963762,0.982918,0.990806,100.000000,
167,46.490721,6.541111,10.731541,0.985534,0.978629,0.969669,0.981303,0.993247,0.997927,0.798774,0.963861,0.982683,0.990422,100.000000,
168,46.803215,6.541111,6.541111,0.987195,0.981373,0.969917,0.984342,0.994545,0.998006,0.807877,0.967224,0.984457,0.991617,100.000000,
169,46.876104,7.827611,7.827611,0.989492,0.983582,0.967869,0.987404,0.997151,0.997945,0.808476,0.968410,0.985062,0.991778,100.000000,
170,46.659734,8.196656,9.209763,0.986142,0.978273,0.967106,0.983006,0.994007,0.998062,0.803539,0.966784,0.983844,0.990882,100.000000,
171,46.845514,7.174245,8.196656,0.987141,0.979801,0.965676,0.985238,0.994908,0.998002,0.808644,0.966402,0.983599,0.990794,100.000000,
172,46.669537,7.174245,7.174245,0.988835,0.980254,0.970284,0.986174,0.996363,0.997890,0.804275,0.965784,0.983528,0.990733,100.000000,
173,46.417721,7.318531,8.981410,0.986537,0.978789,0.969231,0.984489,0.993684,0.997892,0.800759,0.964136,0.982583,0.990266,100.000000,
174,46.701974,7.318531,7.318531,0.989397,0.979993,0.969119,0.987731,0.997647,0.997758,0.808702,0.963278,0.982109,0.990018,100.000000,
175,46.564793,9.141627,9.692336,0.988223,0.978525,0.966798,0.985973,0.996865,0.997643,0.807282,0.962158,0.981633,0.989539,100.000000,
176,47.184232,9.141627,9.141627,0.987260,0.981009,0.975709,0.984400,0.993523,0.997930,0.821600,0.965572,0.983117,0.990341,100.000000,
177,47.113821,11.727240,11.727240,0.987212,0.981525,0.967534,0.985142,0.994864,0.997694,0.810604,0.963578,0.982226,0.990005,100.000000,
178,45.967683,7.843763,13.229066,0.984042,0.975454,0.963820,0.983440,0.991473,0.997555,0.780830,0.957105,0.978669,0.987643,100.000000,
179,45.480899,7.792847,7.843763,0.982241,0.975774,0.960369,0.979307,0.990658,0.997425,0.778093,0.951330,0.975268,0.985794,100.000000,
180,45.949729,7.792847,7.792847,0.984981,0.978561,0.960274,0.982159,0.994080,0.997478,0.783246,0.955958,0.978099,0.987542,100.000000,
181,46.283796,10.354532,10.354532,0.983916,0.977484,0.965003,0.981020,0.991331,0.997404,0.789980,0.957439,0.979084,0.988010,100.000000,
182,46.301202,6.313164,11.155352,0.984571,0.975976,0.961107,0.983020,0.992984,0.997492,0.793240,0.957142,0.978852,0.988016,100.000000,
183,46.050470,5.026537,6.313164,0.983964,0.976933,0.963260,0.982121,0.991695,0.997638,0.790402,0.957109,0.978706,0.988013,98.332763,
184,46.224593,5.026537,5.026537,0.985516,0.976363,0.959677,0.983088,0.994273,0.997639,0.790743,0.959017,0.980155,0.988897,98.813903,
185,46.656286,8.051248,9.469361,0.986619,0.978957,0.964582,0.982749,0.995048,0.997671,0.800787,0.961321,0.981469,0.989915,100.000000,
