Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
58,0.039075,0.039075,42.616297,0.996908,0.986369,0.973271,0.977258,0.986138,0.994619,0.701248,0.965718,0.985144,0.991775,93.115384,
59,2.739596,4.265005,41.905179,0.996430,0.984037,0.969369,0.973512,0.983575,0.993807,0.682918,0.957854,0.981164,0.989250,95.677786,
60,2.739596,2.739596,42.192919,0.996542,0.984470,0.971499,0.974197,0.983929,0.993728,0.692298,0.958843,0.981724,0.989635,95.826970,
61,0.024456,4.835863,42.187421,0.996735,0.985496,0.970373,0.974937,0.986212,0.994496,0.691519,0.960812,0.982925,0.990459,92.697156,
62,0.024456,0.024456,42.195520,0.996754,0.985521,0.970364,0.974879,0.986253,0.994558,0.692478,0.961027,0.983084,0.990585,92.719340,
63,3.185457,4.955431,41.666623,0.996333,0.983974,0.969205,0.972211,0.984048,0.994169,0.680227,0.954212,0.979345,0.988095,96.037718,
64,3.185457,3.185457,41.590861,0.996384,0.982536,0.967112,0.971551,0.982346,0.992840,0.679255,0.953373,0.978755,0.987676,95.663337,
65,0.045949,5.706726,41.975645,0.996479,0.984323,0.970610,0.973726,0.984798,0.993542,0.688746,0.957588,0.981602,0.989827,92.354502,
66,0.045949,0.045949,41.939493,0.996416,0.984201,0.970473,0.973536,0.984624,0.993498,0.687967,0.956933,0.981363,0.989595,92.297569,
67,4.382049,6.254339,40.921398,0.995639,0.981036,0.966208,0.970113,0.979507,0.992358,0.664058,0.943942,0.973796,0.984624,96.324032,
68,4.382049,4.382049,40.868381,0.995467,0.981230,0.967537,0.969902,0.981592,0.990929,0.663277,0.941788,0.973016,0.984473,96.313198,
69,0.020329,7.509686,41.278322,0.996119,0.981473,0.966075,0.969511,0.982154,0.991682,0.678947,0.950224,0.977238,0.986725,91.254014,
70,0.020329,0.020329,41.530134,0.996326,0.982550,0.967182,0.971118,0.983015,0.992653,0.686183,0.953054,0.978812,0.987753,91.637520,
71,4.959744,7.838965,40.966088,0.995697,0.982563,0.967777,0.970059,0.982675,0.992788,0.669248,0.944947,0.974901,0.985961,97.516608,
72,4.959744,4.959744,40.761761,0.995858,0.980272,0.962990,0.968161,0.980996,0.990693,0.666612,0.944011,0.973918,0.985113,96.904388,
73,0.031451,8.166526,41.116786,0.996034,0.981071,0.966582,0.967887,0.981763,0.991472,0.673997,0.948809,0.977134,0.987138,91.211993,
74,0.031451,0.031451,41.307486,0.996209,0.981728,0.966935,0.969032,0.982595,0.991845,0.679542,0.951446,0.978494,0.987970,91.481007,
75,5.217878,8.470058,41.199423,0.996098,0.980623,0.965058,0.967599,0.980537,0.992008,0.678599,0.951051,0.978002,0.987493,97.687874,
76,5.217878,5.217878,41.206134,0.995902,0.980036,0.965861,0.966261,0.979765,0.991464,0.677577,0.947908,0.976067,0.986194,97.360280,
77,0.007158,7.558989,41.351148,0.996176,0.981553,0.966619,0.967842,0.981879,0.992409,0.678407,0.953572,0.979715,0.988635,91.527054,
78,0.007158,0.007158,41.487905,0.996273,0.982098,0.966988,0.968876,0.982203,0.992934,0.681749,0.955119,0.980560,0.989139,91.722974,
79,6.053554,6.876455,41.314600,0.996071,0.979825,0.966265,0.966445,0.980157,0.990268,0.677868,0.950593,0.977604,0.987150,98.470232,
80,6.053554,6.053554,35.725020,0.984818,0.953742,0.928521,0.923813,0.952401,0.976726,0.476545,0.851763,0.929645,0.957812,88.394990,
81,0.022074,7.587180,37.143492,0.989135,0.967485,0.943344,0.942226,0.968305,0.985594,0.517083,0.885498,0.948274,0.970636,85.931026,
82,0.022074,0.022074,37.371964,0.989658,0.968671,0.944610,0.944930,0.968805,0.986568,0.524724,0.890787,0.951097,0.972212,86.410254,
83,4.468207,7.481082,37.504913,0.990663,0.967680,0.941278,0.944315,0.969267,0.985662,0.537566,0.897368,0.954360,0.973645,91.791091,
84,4.468207,4.468207,37.731108,0.990555,0.966511,0.946458,0.943923,0.966958,0.982828,0.542405,0.897351,0.952429,0.972421,91.356607,
85,0.006878,6.743712,38.421454,0.991852,0.972490,0.947963,0.952358,0.972895,0.989247,0.561422,0.914595,0.963080,0.979321,88.221582,
86,0.006878,0.006878,38.428821,0.991874,0.972557,0.947977,0.952396,0.972983,0.989326,0.561738,0.914664,0.963131,0.979318,88.237183,
87,3.406647,6.203096,37.955602,0.990148,0.968766,0.948951,0.943746,0.969115,0.986394,0.541429,0.900087,0.953317,0.973644,90.724175,
88,3.406647,3.406647,38.418484,0.991095,0.971877,0.948751,0.951139,0.973390,0.987750,0.553554,0.910922,0.959442,0.976986,91.920818,
89,0.050113,7.101757,38.619658,0.991686,0.972316,0.952734,0.950875,0.973918,0.987437,0.560516,0.915899,0.963882,0.979683,88.305740,
