Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
105,11.581890,11.581890,19.272545,0.720884,0.640538,0.911378,0.640605,0.587797,0.607780,0.321488,0.372353,0.380434,0.379426,7.128926,
106,0.000000,13.022901,42.579612,0.995916,0.980966,0.974677,0.957692,0.978208,0.990597,0.696285,0.918637,0.956652,0.974607,89.155624,
107,0.000000,0.000000,17.614583,0.671742,0.637176,0.888400,0.662276,0.594056,0.598402,0.296680,0.337611,0.340213,0.333827,0.000000,
108,12.590030,13.842987,24.194325,0.886212,0.800881,0.929550,0.786844,0.723020,0.820243,0.432749,0.539563,0.575152,0.604356,35.607648,
109,0.000000,12.590030,43.125920,0.995634,0.982730,0.969043,0.956045,0.979670,0.994932,0.706718,0.920724,0.958178,0.975659,89.675254,
110,0.000000,0.000000,19.397479,0.744130,0.669713,0.914254,0.703196,0.599742,0.644176,0.342240,0.397877,0.406680,0.404299,0.861986,
111,9.978682,10.453358,18.728270,0.683923,0.684069,0.916669,0.715865,0.631515,0.652247,0.312517,0.358635,0.361857,0.354775,11.663806,
112,9.978682,9.978682,42.563784,0.995993,0.982847,0.970311,0.958416,0.979977,0.994024,0.696706,0.924569,0.961102,0.977650,100.000000,
113,0.000000,12.516188,42.596323,0.995933,0.981954,0.970502,0.961840,0.980174,0.991648,0.704197,0.922451,0.958999,0.975888,89.568826,
114,0.000000,0.000000,20.679920,0.748145,0.633383,0.890339,0.627644,0.552232,0.626058,0.323651,0.383920,0.401532,0.415934,0.000000,
115,8.459772,8.459772,20.481322,0.745813,0.671521,0.909475,0.693113,0.608238,0.653363,0.310601,0.365806,0.384548,0.400824,9.292025,
116,0.000000,8.849433,41.644824,0.996007,0.974762,0.957584,0.946637,0.973681,0.987575,0.685059,0.915680,0.955560,0.974656,87.788179,
117,0.000000,0.000000,22.115924,0.818996,0.659141,0.896728,0.629099,0.539918,0.693031,0.329649,0.410243,0.449254,0.498472,1.342514,
118,6.360816,6.360816,18.618993,0.675809,0.613392,0.855496,0.572866,0.513755,0.633346,0.275025,0.319118,0.327725,0.328241,1.638485,
119,10.795515,23.200743,42.184499,0.995226,0.976221,0.964993,0.948121,0.973662,0.987400,0.684917,0.906922,0.948173,0.967882,100.000000,
120,0.000000,10.795515,41.179149,0.994879,0.974122,0.961137,0.942762,0.971349,0.987606,0.674966,0.900627,0.945304,0.967555,86.645009,
121,0.000000,0.000000,18.025978,0.665031,0.617115,0.880914,0.627369,0.542485,0.606917,0.276615,0.318645,0.326584,0.325574,0.000000,
122,11.063001,12.934478,20.273199,0.775979,0.690453,0.920496,0.701558,0.628049,0.674581,0.351671,0.421215,0.442315,0.459929,13.434202,
123,0.000000,11.063001,42.295194,0.995462,0.981446,0.966164,0.952994,0.978758,0.994245,0.696837,0.915093,0.955700,0.974737,89.219382,
124,0.000000,0.000000,18.382145,0.685407,0.604147,0.896479,0.672065,0.527285,0.566451,0.304741,0.348846,0.353853,0.349212,0.000000,
125,12.360351,12.360351,16.940827,0.655014,0.587152,0.886233,0.657229,0.529467,0.539410,0.291958,0.328520,0.328208,0.315374,2.634189,
126,0.000000,40.242054,47.040273,0.997850,0.985767,0.980494,0.966812,0.981447,0.994343,0.796094,0.967268,0.984328,0.990951,92.755286,
127,0.000000,0.000000,17.389831,0.686400,0.639564,0.945349,0.781673,0.587478,0.549021,0.332011,0.374117,0.363873,0.338352,0.000000,
128,2.501017,16.750549,28.910433,0.952430,0.781649,0.941953,0.770617,0.677266,0.800375,0.563703,0.681298,0.711445,0.738010,28.657978,
129,2.501017,2.501017,18.956740,0.739486,0.582258,0.938310,0.703754,0.497323,0.511161,0.379970,0.427488,0.421617,0.403129,0.000000,
130,0.000000,13.979091,44.283568,0.996397,0.973261,0.965184,0.947191,0.968002,0.984129,0.738821,0.935826,0.965432,0.979303,88.239954,
131,0.000000,0.000000,21.086624,0.796796,0.520713,0.928235,0.661262,0.460196,0.428695,0.384633,0.442443,0.447747,0.449786,0.000000,
132,8.694402,8.694402,25.047100,0.907291,0.660073,0.935170,0.748593,0.593731,0.614119,0.489314,0.587889,0.617055,0.640792,9.410508,
133,0.000000,10.819738,45.460196,0.996854,0.983393,0.978235,0.964689,0.978012,0.992629,0.764086,0.948877,0.974696,0.985536,91.340162,
134,0.000000,0.000000,19.027755,0.742751,0.590826,0.920303,0.682672,0.534075,0.511965,0.378912,0.418438,0.411527,0.388633,0.000000,
135,12.771809,12.771809,19.917038,0.764501,0.630709,0.945431,0.797593,0.601624,0.518733,0.405587,0.448538,0.444041,0.425357,4.623608,
136,11.445084,15.512666,45.279312,0.996855,0.980090,0.972911,0.954481,0.974740,0.990907,0.762108,0.948483,0.974097,0.984732,100.000000,
137,0.000000,11.445084,44.630332,0.996717,0.977802,0.970800,0.952017,0.971296,0.988952,0.748488,0.940578,0.968793,0.981362,89.531533,
138,0.000000,0.000000,21.299403,0.804292,0.584238,0.929371,0.698453,0.490032,0.529811,0.419130,0.482134,0.489687,0.490306,0.000000,
139,8.381969,8.381969,18.489067,0.711997,0.622309,0.947054,0.765042,0.574684,0.533359,0.365297,0.403458,0.397327,0.377755,0.578550,
140,0.000000,17.391268,45.058342,0.997175,0.984164,0.973002,0.961272,0.982547,0.993656,0.759867,0.950813,0.975822,0.986332,91.629579,
141,0.000000,0.000000,21.007372,0.790862,0.493767,0.893259,0.566734,0.425925,0.428620,0.379544,0.439393,0.448669,0.451783,0.000000,
142,9.094428,9.094428,19.467020,0.761221,0.576277,0.943317,0.726139,0.510033,0.478113,0.401359,0.451426,0.450696,0.439476,0.000000,
143,12.701087,16.457369,46.712414,0.997520,0.986286,0.981786,0.967051,0.982189,0.995344,0.800006,0.965606,0.983882,0.991145,100.000000,
144,0.000000,12.701087,46.901538,0.997709,0.987975,0.982960,0.972892,0.982957,0.996326,0.806024,0.968009,0.984933,0.991553,93.306241,
145,0.000000,0.000000,19.440449,0.765340,0.666014,0.931670,0.736257,0.671672,0.572632,0.411986,0.448007,0.439487,0.413687,0.000000,
146,11.821794,12.121325,20.772569,0.790970,0.649667,0.946376,0.777002,0.625502,0.547746,0.443157,0.482765,0.476795,0.455004,5.916046,
147,0.000000,11.821794,46.931530,0.997470,0.986170,0.980168,0.967974,0.983761,0.993726,0.807377,0.965587,0.983446,0.990776,92.776291,
